id,location,tag,url,license,photographer,source
5,100039_Amazona_vittata.jpg,Puerto Rican parrot,http://gigadb.org/images/data/cropped/100039_parrot.jpg,CC0,Taras Oleksyk,"University of Puerto Rico at Mayagüez, PUERTO RICO"
221,ftp,,,cc0,jesse,gigadb
222,100006_Pygoscelis_adeliae.jpg,Adelie penguin	,http://gigadb.org/images/data/cropped/100006_Pygoscelis_adeliae.jpg,"Public Domain, US Government","Michael Van Woert, 1998",NOAA Photo Library
223,100020_Setaria_italica.jpg,Foxtail millet,http://gigadb.org/images/data/cropped/100020_Setaria_italica.jpg,"GNU Free Documentation License, CC SA",Markus Hagenlocher,Wikimedia Commons
224,Images_147.png,CS icon 1,http://gigadb.org/images/uploads/image_upload/Images_147.png,public domain,Shashaank Vattikuti,Gigascience
225,100142.jpg,Overlap between different protocol search terms,http://gigadb.org/images/data/cropped/100142.jpg,CC0,Alnasir and Shanahan 2015,Alnasir and Shanahan 2015
2077,no_image.jpg,Comparative analysis of the <i>C. argus</i> and the <i>C. maculata</i> genomes,https://assets.gigadb-cdn.net/live/images/datasets/no_image.png,"CC0","Wang et al.","2021,Wang et al.,2021"
