id,database_name,definition,database_homepage,database_search_url
1,EBI BioSamples database,"The BioSamples database aggregates sample information for reference samples e.g. Coriell Cell lines and samples for which data exist in one of the EBI's assay databases such as ArrayExpress, the European Nucleotide archive, or Pride. It provides links to assays for specific samples, and accepts direct submissions of samples.",http://www.ebi.ac.uk/biosamples/index.html,http://www.ebi.ac.uk/biosamples/index.html
2,NCBI BioSamples database,"The BioSamples database aggregates sample information for reference samples e.g. Coriell Cell lines and samples for which data exist in one of the NCBI's assay databases such as GenBank, GEO, SRA or DB-Gap. It provides links to assays for specific samples, and accepts direct submissions of samples.",http://www.ncbi.nlm.nih.gov/biosample,http://www.ncbi.nlm.nih.gov/biosample/?term=
