id,identifier,pmid,dataset_id,is_pre_print
148,10.1186/2047-217X-3-26,,107,false
149,10.1186/2047-217X-3-26,,108,false
150,10.1186/2047-217X-3-26,,109,false
151,10.1186/2047-217X-3-26,,110,false
152,10.1186/2047-217X-3-26,,111,false
153,10.1186/2047-217X-3-26,,112,false
154,10.1186/2047-217X-3-26,,113,false
155,10.1186/2047-217X-3-26,,114,false
156,10.1186/2047-217X-3-26,,115,false
157,10.1186/2047-217X-3-26,,116,false
158,10.1186/2047-217X-3-26,,117,false
159,10.1186/2047-217X-3-26,,118,false
160,10.1186/2047-217X-3-26,,138,false
161,10.1186/2047-217X-3-26,,172,false
162,10.1186/2047-217X-3-27,,16,false
163,10.1186/2047-217X-3-27,,8,false
164,10.1126/science.1251385,,81,false
165,10.1126/science.1251385,,60,false
166,10.1126/science.1251385,,6,false
167,10.1126/science.1251385,,16,false
168,10.1126/science.1251385,,8,false
169,10.1126/science.1251385,,26,false
170,10.1126/science.1251385,,80,false
171,10.1126/science.1251385,,79,false
172,10.1126/science.1251385,,82,false
173,10.1126/science.1251385,,83,false
174,10.1126/science.1251385,,84,false
175,10.1126/science.1251385,,85,false
176,10.1126/science.1251385,,86,false
177,10.1126/science.1251385,,87,false
178,10.1126/science.1251385,,88,false
179,10.1126/science.1251385,,89,false
180,10.1126/science.1251385,,90,false
181,10.1126/science.1251385,,91,false
182,10.1126/science.1251385,,92,false
183,10.1126/science.1251385,,93,false
184,10.1126/science.1251385,,94,false
185,10.1126/science.1251385,,95,false
186,10.1126/science.1251385,,96,false
187,10.1126/science.1251385,,97,false
188,10.1126/science.1251385,,98,false
189,10.1126/science.1251385,,99,false
190,10.1126/science.1251385,,100,false
191,10.1126/science.1251385,,101,false
192,10.1126/science.1251385,,102,false
193,10.1126/science.1251385,,103,false
194,10.1126/science.1251385,,104,false
195,10.1126/science.1251385,,105,false
196,10.1126/science.1251385,,106,false
197,10.1126/science.1251385,,107,false
198,10.1126/science.1251385,,108,false
199,10.1126/science.1251385,,109,false
200,10.1126/science.1251385,,110,false
201,10.1126/science.1251385,,111,false
202,10.1126/science.1251385,,112,false
203,10.1126/science.1251385,,113,false
204,10.1126/science.1251385,,114,false
205,10.1126/science.1251385,,115,false
206,10.1126/science.1251385,,116,false
207,10.1126/science.1251385,,117,false
208,10.1126/science.1251385,,118,false
209,10.1126/science.1251385,,138,false
210,10.1126/science.1251385,,172,false
211,10.1126/science.1254449,,160,false
212,10.1126/science.1254449,,166,false
213,10.1126/science.1254449,,165,false
214,10.1126/science.1254449,,164,false
215,10.1126/science.1253451,,81,false
216,10.1126/science.1253451,,60,false
217,10.1126/science.1253451,,6,false
218,10.1126/science.1253451,,16,false
219,10.1126/science.1253451,,8,false
220,10.1126/science.1253451,,26,false
221,10.1126/science.1253451,,80,false
222,10.1126/science.1253451,,79,false
223,10.1126/science.1253451,,82,false
224,10.1126/science.1253451,,83,false
225,10.1126/science.1253451,,84,false
226,10.1126/science.1253451,,85,false
227,10.1126/science.1253451,,86,false
228,10.1126/science.1253451,,87,false
229,10.1126/science.1253451,,88,false
230,10.1126/science.1253451,,89,false
231,10.1126/science.1253451,,90,false
232,10.1126/science.1253451,,91,false
233,10.1126/science.1253451,,92,false
234,10.1126/science.1253451,,93,false
235,10.1126/science.1253451,,94,false
236,10.1126/science.1253451,,95,false
237,10.1126/science.1253451,,96,false
238,10.1126/science.1253451,,97,false
239,10.1126/science.1253451,,98,false
240,10.1126/science.1253451,,99,false
241,10.1126/science.1253451,,100,false
242,10.1126/science.1253451,,101,false
243,10.1126/science.1253451,,102,false
244,10.1126/science.1253451,,103,false
245,10.1126/science.1253451,,104,false
246,10.1126/science.1253451,,105,false
247,10.1126/science.1253451,,106,false
248,10.1126/science.1253451,,107,false
249,10.1126/science.1253451,,108,false
250,10.1126/science.1253451,,109,false
251,10.1126/science.1253451,,110,false
252,10.1126/science.1253451,,111,false
253,10.1126/science.1253451,,112,false
254,10.1126/science.1253451,,113,false
255,10.1126/science.1253451,,114,false
256,10.1126/science.1253451,,115,false
257,10.1126/science.1253451,,116,false
258,10.1126/science.1253451,,117,false
259,10.1126/science.1253451,,118,false
260,10.1126/science.1253451,,138,false
261,10.1126/science.1253451,,172,false
262,10.1186/2047-217X-3-11,,60,false
263,10.1186/2047-217X-4-1,,149,false
264,10.1186/2047-217X-3-35,,163,false
265,10.1186/2047-217X-3-37,,162,false
266,10.1186/2047-217X-3-34,,146,false
267,10.1021/pr401068k,,148,false
268,10.1073/pnas.1501764112,,186,false
269,10.1186/s13742-015-0053-x,,192,false
270,10.1186/s13742-015-0061-x,,196,false
271,10.1186/s13742-015-0050-0,,181,false
272,10.1186/s13742-015-0047-8,,184,false
273,10.1186/s13742-015-0046-9,,182,false
274,10.1186/s13742-015-0049-6,,183,false
275,10.1186/s13742-015-0051-z,,191,false
276,10.1186/s13059-014-0521-0,,197,false
277,10.1186/s13742-015-0059-4,,187,false
278,10.1038/ncomms7528,,202,false
279,10.1186/s13742-015-0057-6,,193,false
280,10.1186/s13742-015-0063-8,,199,false
281,10.1186/s13742-015-0064-7,,200,false
282,10.1186/s13742-015-0062-9,,92,false
283,10.1016/j.chom.2015.04.004,,188,false
284,10.1038/nbt.3200,,150,false
285,10.1186/s13742-015-0068-3,,177,false
286,10.1186/s13742-015-0076-3,,212,false
287,10.1186/s13742-015-0080-7,,203,false
288,10.1186/s13742-015-0081-6,,213,false
289,10.1186/s13742-015-0083-4,,215,false
290,10.1186/s13742-015-0084-3,,220,false
291,10.1038/nature14659,26176920,210,false
292,10.1186/s13742-015-0082-5,,214,false
293,10.1186/s13742-015-0078-1,,209,false
294,10.1186/s13742-015-0085-2,,221,false
295,10.1186/s13742-015-0088-z,,217,false
296,10.1186/s13742-015-0056-7,,195,false
297,10.1186/s13742-015-0054-9,,148,false
298,10.1186/s13742-015-0060-y,,171,false
299,10.1186/s13742-015-0065-6,,198,false
300,10.1186/s13742-015-0073-6,,208,false
301,10.1186/s13742-015-0070-9,,204,false
302,10.1186/s13742-015-0069-2,,205,false
303,10.1186/2047-217X-1-18,,205,false
304,10.1186/s13742-015-0075-4,,211,false
305,10.1038/nbt.3353,,173,false
306,10.1186/s13742-015-0094-1,,228,false
307,10.1186/s13742-015-0098-x,,232,false
308,10.1186/s13742-015-0099-9,,233,false
309,10.1186/s13742-015-0093-2,,185,false
310,10.1186/s13742-015-0092-3,,227,false
311,10.1186/s13742-015-0097-y,,229,false
312,10.1186/s13742-015-0090-5,,216,false
313,10.1186/s13742-015-0091-4,,231,false
314,10.1186/s13742-015-0089-y,,224,false
315,10.1186/s13742-015-0104-3,,235,false
316,10.1186/s13742-015-0102-5,,230,false
317,10.1186/s13742-015-0101-6,,234,false
318,10.1186/s13742-015-0107-0,,238,false
319,10.1186/s13742-015-0103-4,,226,false
320,10.1186/s13742-015-0106-1,,236,false
321,10.1186/s13742-015-0106-1,,237,false
322,10.1186/s13742-016-0109-6,,240,false
323,10.1186/s13742-016-0112-y,,244,false
324,10.1186/s13742-016-0108-7,,242,false
325,10.1186/s13742-016-0111-z,,239,false
326,10.1186/s13742-016-0110-0,,236,false
327,10.1186/s13742-016-0114-9,,241,false
328,10.1186/s13742-016-0113-x,,245,false
329,10.1186/s13742-015-0105-2,,243,false
330,10.1038/srep20796,,4,false
331,10.1111/zsc.12175,,246,false
332,10.1186/s13742-016-0119-4,,246,false
333,10.1038/nature14659,,250,false
334,10.1016/j.cub.2015.10.065,,250,false
335,10.1186/s13742-016-0122-9,,248,false
336,10.1186/s13742-016-0125-6,,252,false
337,10.1038/ng.3576,,218,false
338,10.1186/s13742-016-0129-2,,254,false
339,10.1186/s13742-016-0128-3,,256,false
340,10.1186/s13742-016-0131-8,,255,false
341,10.1186/s13742-016-0115-8,,219,false
342,10.1186/s13742-015-0086-1,,206,false
343,10.1186/s13742-016-0134-5,,257,false
344,10.1186/s13742-016-0130-9,,259,false
345,10.1186/s13742-016-0136-3,,261,false
346,10.1186/s13742-016-0137-2,,262,false
347,10.1101/069625,,268,false
348,10.1186/s13742-016-0139-0,,263,false
349,10.1186/s13742-016-0142-5,,271,false
350,10.1186/s13742-016-0141-6,,265,false
351,10.1186/s13742-016-0143-4,,273,false
352,10.1186/s13742-016-0133-6,,258,false
353,10.1186/s13742-016-0138-1,,269,false
354,10.1186/s13742-016-0140-7,,264,false
355,10.1186/s13742-016-0140-7,,264,false
356,10.1186/s13742-016-0144-3,,274,false
357,10.1038/nmicrobiol.2016.161,,247,false
358,10.1186/s13742-016-0148-z,,303,false
359,10.1186/s13742-016-0145-2,,301,false
360,10.1038/NCOMMS13107,,275,false
361,10.1186/s13742-016-0146-1,,304,false
362,10.1186/s13742-016-0152-3,,307,false
363,10.1186/s13742-016-0149-y,,305,false
364,10.1186/s13742-016-0135-4,,260,false
365,10.1016/j.cels.2016.10.004,,315,false
