id,surname,middle_name,first_name,orcid,gigadb_user_id,custom_name
3006,Bai,"",Yinqi,,,
3008,Ball,V,Edward,,,
3014,Bolund,"",Lars,0000-0003-4165-1531,,
3017,Boomsma,J,Jacobus,,,
3024,Cai,"",Qingle,,,
3031,Cheng,"",Shifeng,,,
3033,Chen,"",Jiesi,,,
3037,Chen,"",Ronghua,,,
3040,Chen,"",Yan,,,
3047,Cooper,N,David,,,
3054,Du,"",Hongli,,,
3055,Durbin,"",Richard,,,
3056,Du,"",Yongchen,,,
3059,Fang,"",Lin,,,
3062,Fang,"",Xiaodong,,,
3063,Fan,"",Wei,,,
3064,Faraut,"",Thomas,,,
3076,Geng,"",Chunyu,,,
3077,Gilbert,P,M.Thomas,0000-0002-5805-7195,,
3078,Goodman,"",Laurie,0000-0001-9724-5976,,
3080,Guo,"",Guangwu,,,
3085,Han,"",Changlei,,,
3087,He,"",Jun,,,
3089,Herrero,"",Javier,,,
3096,Huang,"",Quanfei,,,
3097,Huang,"",Sanwen,,,
3098,Huang,"",Ying,0000-0002-4364-9323,,
3099,Huang,"",Zhiyong,,,
3100,Hu,"",Haofu,,,
3102,Hu,"",Qun,,,
3108,Jarvis,D,Erich,0000-0001-8931-5049,,
3112,Katze,G,Michael,,,
3118,Kristiansen,"",Karsten,0000-0002-6024-0917,,
3119,Krogh,"",Anders,0000-0002-5147-6282,,
3120,Kuang,"",Hanhui,,,
3123,Lam,"",Tak-Wah,,,
3125,Le,"",Liang,,,
3132,Liao,"",Xiangke,,,
3133,Li,"",Bo,,,
3134,Li,"",Cai,,,
3139,Li,"",Guangcun,,,
3142,Li,"",Jianwen,,,
3149,Ling,"",Fei,,,
3150,Li,"",Ning,,,
3153,Li,"",Qibin,,,
3154,Li,"",Qiye,,,
3155,Li,"",Ruiqiang,,,
3158,Li,"",Songgang,,,
3159,Liu,"",Binghang,,,
3167,Liu,"",Xiaoming,,,
3168,Liu,"",Xin,0000-0003-3256-2940,,
3169,Liu,"",Yuan,,,
3171,Li,"",Yan,,,
3172,Li,"",Ying,,,
3173,Li,"",Yingrui,,,
3176,Li,"",Zhenyu,,,
3177,Li,"",Zhuo,,,
3180,Luo,"",Ruibang,,,
3182,Lu,"",Yao,,,
3186,Meng,"",Yuhuan,,,
3192,Mu,"",Desheng,,,
3197,Nielsen,"",Rasmus,0000-0003-0513-6591,,
3200,Ni,"",Peixiang,,,
3203,Pan,"",Shengkai,,,
3209,Qian,"",Wubin,,,
3211,Qin,"",Junjie,,,
3215,Rasmussen,"",Morten,,,
3222,Searle,"",Steve,,,
3227,Shi,"",Yujian,,,
3232,Stenson,D,Peter,,,
3233,Su,"",Bing,,,
3238,Su,"",Yeyang,,,
3243,The Avian Genome Consortium,"","",,,
3244,Thompson,R,John,,,
3249,van Gool,J,Alain,,,
3252,Wang,"",Bo,,,
3253,Wang,"",Jian,,,
3256,Wang,"",Jufang,,,
3257,Wang,"",Jun,,,
3258,Wang,"",Jun,0000-0002-1422-3331,,
3262,Wang,"",Tao,,,
3263,Wang,"",Wen,,,
3265,Wang,"",Xiaoning,,,
3270,Wang,"",Zhiwen,,,
3273,Wei,"",Liqiong,,,
3278,Wong,Ka-Shu,Gane,0000-0001-6108-5560,,
3280,Wu,"",Kui,,,
3288,Xiaoqian,"",Zhu,,,
3289,Xie,"",Min,,,
3293,Xu,"",Jiaohui,,,
3295,Xu,"",Xun,,,
3297,Yang,"",Bin,,,
3299,Yang,"",Huanming,0000-0002-0858-3410,,
3304,Yang,"",Shuang,,,
3305,Yan,"",Guangmei,,,
3309,Ye,"",Jia,,,
3311,Yin,"",Ye,,,
3312,Yiu,"",Siu-Ming,,,
3313,Yi,"",Xin,,,
3314,Yuan,"",Jianying,,,
3315,Yu,"",Chang,,,
3316,Yue,"",Zhen,,,
3320,Zeng,"",Peng,,,
3321,Zhan,"",Dongliang,,,
3324,Zhang,"",Gengyun,,,
3325,Zhang,"",Guojie,,,
3326,Zhang,"",Hao,,,
3330,Zhang,"",Pei,,,
3335,Zhang,"",Xiuqing,,,
3337,Zhang,"",Yanfeng,,,
3339,Zhang,"",Yong,,,
3341,Zhang,"",Zhonghua,,,
3347,Zheng,"",Hancheng,,,
3348,Zheng,"",Hongkun,,,
3358,Zhuo,"",Min,,,
3371,Lambert,M,David,,,
3668,Sun,"",Jing,,,
3673,Zhang,"",Xiuqing,,,
3753,Gonzalez-Beltran,"",Alejandra,,,
3754,Li,"",Peter,,,
3755,Zhao,"",Jun,,,
3756,Thompson,"",Mark,,,
3757,Avila-Garcia,Susana,Maria,,,
3758,Lee,"",Tin-Lap,,,
3759,Roos,"",Marco,,,
3760,Edmunds,"",Scott,,,
3761,Sansone,"",Susanna-Assunta,,,
3762,Rocca-Serra,"",Philippe,,,
3792,Cai,"",Na,,,
3793,Bigdeli,B.,Tim,,,
3794,Kretzschmar,"",Warren,,,
3795,Li,"",Yihan,,,
3796,Liang,"",Jieqin,,,
3797,Song,"",Li,,,
3798,Hu,"",Jingchu,,,
3799,Jin,"",Wei,,,
3800,Hu,"",Zhenfei,,,
3801,Wang,"",Linmao,,,
