id,file_id,attribute_id,value,unit_id
9775,96280,605,FAE678EE711683E49DCA38DAC066E368,
9776,96294,605,591300D729B73A9602AFC2671B77E17F,
9777,96297,605,49237F8CFAE7F86AA339EFAD3DF4F784 ,
9778,127823,605,9C2B00AD94946D8FE5B46620159D0FE7,
30989,94433,605,a83515fd9941183b77053a0a2db3e58f  ,
30990,94432,605,6846abd56fe56b7196f68f200cb85235  ,
30991,94429,605,9a773954651b7253f78367ab7068a1ff  ,
30992,94426,605,273e0ac5d9bd21da0eb048893ba86186  ,
30993,94434,605,1f8dbbd3803dbdd812d2bacf1661116a  ,
30994,94428,605,6291d7b9433c3e63fc49fb84c7dddd94  ,
30995,94431,605,e292f710f1cc6f39a9a533c987dbc3d8  ,
30996,94427,605,98b3a6cb26ed39a8c64a369ea362286d  ,
30997,94430,605,aa6a8309960741e5a5ac94855a55fa2c  ,
30998,94436,605,1219bad52ae628165040a52861b8887c  ,
30999,94435,605,e7c6c2e4128a99aa89281c4a8949f1d8  ,
31000,94437,605,f1f443230f932869fde4ca2185c575e2  ,
32470,120851,605,f7c813aed73664ab38d673b051e9a76a  ,
32471,120850,605,77c4d61a4f86dc85be92548964f65811  ,
32732,96249,605,cc95115198cc860ac0479552fe20f9cc  ,
32733,96250,605,b64160501bda1a59ef762866581c48b4  ,
32734,96251,605,c3aa515932ba7bfc1817e8d86b9720bc  ,
32735,96252,605,c1ff3f8cde905d65a47483bf2532b0c4  ,
32736,96253,605,3666f713ed81b65121720cb1a1e7c870  ,
32737,96254,605,b59ba8e2e59db9712b5f9d2a85caa9b9  ,
32738,96255,605,6efee385268c97215565098138f238be  ,
32739,96256,605,56b03da5294cfd5867c0ff9415e24b82  ,
32740,96257,605,1b0da3db311c253c8b6a17dd0e91bb1e  ,
32741,96258,605,6ef6e3839b1b19cb0e8693ffd7643487  ,
32742,96259,605,81d49d30173bb3c1904803ce6e0dd5ac  ,
32743,96260,605,e421d039fe8374ac726adff33a83c613  ,
32744,96261,605,030f2896e74b198c5dfaaf88b97dd614  ,
32745,96262,605,af0f6274db2f7ae7be54e6edb2bcf720  ,
32746,96263,605,1c1283d488cba9211d3764b03742f730  ,
32747,96264,605,c6daf88ee323d79ba54595793abe0db0  ,
32748,96265,605,e8fd3ed31dbe92518f88033255880fe1  ,
32749,96266,605,f284b7f6c6ac2421180c567f21cf3699  ,
32750,96267,605,3bf930d2cce459dd46f778eac790f9fb  ,
32751,96268,605,211e07e735f7a2ad4b12c9f91b3aa7f8  ,
32752,96269,605,3bf30d273e4ae7370e35ada72e36ba78  ,
32753,96270,605,851b242485617bfc3cd14ac5738ffaf5  ,
32754,96271,605,e1b7fa4f2f0b02d223328c2122f3a9bc  ,
32755,96272,605,de3f6cf56a00a78668fd0cf2d90f0509  ,
32756,96273,605,001cc7f13895ef38f3204d54a56977f2  ,
32757,96274,605,0436698ccb9c63182b662b461ddc0ceb  ,
32758,96275,605,9b703630400947d28a3a886d7a7c7d38  ,
32759,96276,605,2bdaa56f381ab35b9413da02888926f0  ,
32760,96277,605,d5afea28dbdd7230bb90270d8dc75bad  ,
32761,96278,605,d9d50c6c7b815f1e5f19c1d578c833a3  ,
32762,96279,605,8f944ccae28cdbb1249f9153c2e3bb2e  ,
32763,96280,605,23c6c98f6564b1fd52a53942bee8dcfb  ,
32764,96281,605,8fab7ab343a71c6f5e0e39bec4b33cd3  ,
32765,96282,605,639044cbe834c6d89bc5650e4e6ef4bb  ,
32766,96283,605,d7aa63ebc8009b23f1a4ef1d5626f36a  ,
32767,96285,605,b3c501a5bd363b7ec24c45a6a88fef2d  ,
32768,96284,605,9eb3638e283b2f5bd7041d644f4fe27b  ,
32769,96286,605,a4364c42012716d87642feb6a21dc47d  ,
32770,96287,605,eb2a3a86c5e9b77f4e7e27de28dc246b  ,
32771,96288,605,51357d352d147c5687529927ab034a4c  ,
32772,96289,605,e114af881801e73075fb3afc9e4e1792  ,
32773,96290,605,6b527ce866f9161e9d6c2a54fc2735bc  ,
32774,96291,605,ae59aac3168c259a531d6952eaa71f34  ,
32775,96292,605,701b05772835c04b6bc252bc67f95a20  ,
32776,96293,605,a807dfe025468debabe22f48ec94746d  ,
32777,96294,605,10e8d5b542adbcfcf399d7fcfd672a8c  ,
32778,96295,605,b6d231d7a53a5a53d0feffa1c228e462  ,
32779,96296,605,2694027e9a232164bda41be2d7c855fd  ,
32780,96297,605,75d4c066ffb113b6158c068c2a74d791  ,
32781,96298,605,0044c799b85a60272143c44c1e7bde8a  ,
32782,96299,605,d7b908cf34002423735af0a5b1dcddd6  ,
32783,96300,605,8dadad17413d6f92b4dce398905f608a  ,
32784,96301,605,215b8f76138a2226293d81540d6afd1d  ,
32785,96248,605,71ec096f5d01d793cca5d9e791ddcda9  ,
33095,96473,605,fd54db55cd8877d9bc8fba9dcfa4218b  ,
33096,96474,605,b8a5846b239fa131fc2bc6710a8b81d8  ,
33097,96475,605,2d6eb49f3055b341a80ddf67deb2e716  ,
33098,96476,605,51120866d3dff4ba1953889d78475674  ,
33099,96477,605,b2ce25de5a1810d0806d652e98823423  ,
33100,96478,605,4719b61aa4138444668b1d3d88dee8c2  ,
33101,96479,605,5a96a2f1bd022894e783430a88dcd4c5  ,
33102,96480,605,2bcd7862ba131ddafed4d014149f6a4a  ,
33103,96481,605,6e94e8efd1622931b7bebbce280071a1  ,
33104,96482,605,1994285ddb2109f6ec2a09ea25e055e6  ,
33105,96483,605,2bfc28736f25e134415568aff07eb493  ,
33106,96484,605,bbfd4e9ca0680a95f5211bcd19cad7ed  ,
33107,96485,605,586bd6c964924ebca464858ff04dbf00  ,
33108,96486,605,94386ed1b9b9eb6e1cd52ec4d0b07712  ,
33109,96487,605,3e14eff47363924011430678cea33b65  ,
33110,96488,605,60017171e8bd722559f3a79500946519  ,
33111,96489,605,fbcb3b2c648e2cc376d6c3709254b28e  ,
33112,96490,605,03e3d5c7779f5af1ee365f324b29d72a  ,
33113,96491,605,2be5f1682d59c38a77a4018ff49f7e46  ,
33114,96492,605,0e970e3feb71e5dcc5d35ed4080ba554  ,
33115,96493,605,4be64ab70ea88e62cbea0a0a7464f737  ,
33116,96494,605,a626b89e0392dbdab6c9696dbe1be8d9  ,
33117,96495,605,6c8be0eeef355ab2d62abd8131bdce93  ,
33118,96496,605,c35a548a17b3bd8fc52f4f8aad27be63  ,
33119,96497,605,4de18fdbcf3fb9e395a3ad90d6cd9069  ,
33120,96498,605,6c1ef119acbefdac3380c84c607af946  ,
33121,96499,605,ec71087c5afad43d8b9012412d0a7b66  ,
33122,96500,605,acef70a88a5f2201a4a8dad8ff1f1f04  ,
33123,96501,605,6937cabbc8c39daac062b9b9f7b4eb1f  ,
33124,96502,605,c20aaa3275f84ae688653806c4345167  ,
33125,96503,605,e09a93ba2f3268534414cfcc2d08a9ea  ,
33126,96504,605,afa6e91ee2e9e6039d539b277afaf6d3  ,
33127,96505,605,5e1068f9b2dd430d6c513fca90dee2a3  ,
33128,96506,605,ce77f8c55f02f8fbc58c58295538af8d  ,
33129,96507,605,23d19d4b12238a6f6c9cf912524999f4  ,
33130,96508,605,40397cdc8d4c8746b1f075c3ea4d474d  ,
33131,96509,605,edbf07237abfbedbdb046a45283eeb85  ,
33132,96515,605,ab99b3a9c54b7c71bddc5659b47ccc2a  ,
33133,96472,605,ddabb1604f7fdae208c0848c9b4dc4f2  ,
56355,120324,605,6ddb8d4bef9f41d1eae8b7b85e744d0d  ,
56356,120323,605,c506501422a9bf838a6b867afafe1d5b  ,
56357,120340,605,603612a403eaeec19893305e70fd2dce  ,
56358,120341,605,f74ef395bcefb7cb7d6215e8cf072ce0  ,
60302,128565,572,MIT open source license,
60303,128566,572,MIT open source license,
60304,128567,572,MIT open source license,
60999,128566,605,6b25397ae5cc8050f81737839e6d75f7,
61000,128567,605,1cddb67827a659327c421a35ce5cec74,
61001,128564,605,f13a512954753b8fbb549c9918a84f93,
61049,128565,605,d41be8d9e4d70a33923d7690cc8751fc,
258855,326178,605,b8aa502719e3fae8d4b5059cf845f767,
258856,326177,605,c34f6c984c44772926d2770c08bfd679,
258857,326176,605,ee32663db18a253318c590ea9aaab2f8,
258858,326175,605,75f81a4944dac399cfed5d53e40293b6,
258859,326179,605,02b1cbe2e26d4cc41ba8bdc0fe05ad37,
259112,326434,572, Lesser General Public License,
259365,326433,605,cf542268ed6e87eeb014ccd3cb7656d1,
259366,326434,605,fc40dcd7522ac1539c946f2f602d9060,
259367,326436,605,a7933bd8af5d2e8dd637cb23ca3b30b8,
259368,326437,605,d240419fea857209d680749105a9d809,
259369,326438,605,d240419fea857209d680749105a9d809,
259370,326435,605,40c23febdb58d67551343bfcb0709559,
299643,350850,605,27df22430ff0b2634d556dbd6612c091,
299644,350849,605,96d0cf4b77a5e3f47738f0bad0c75ef2,
299645,350851,605,3ed552bb83ae61b8e202103be8102418,
299646,350852,605,6bce7513494062dd213021f15eedf0f5,
299647,350853,605,8ebb84c502b84e8df0b26a33ea6418fb,
299648,350854,605,770f48e30c80926172903d13977b1fd8,
299649,350855,605,5e7bcf87972ed19627ffc32bfa93493c,
299650,350856,605,34c2bd4b643fe25a67ea13dd27e238f2,
299651,350857,605,25bd147879362c775f8c3c6bb7181bea,
299652,350858,605,56ae7acf0b80144363dfd1df55b0a1d9,
299653,350859,605,1f858fa61b40bbb05932ef68df70e10f,
299654,350860,605,da9abe483bd133b39741147073789a71,
299655,350861,605,02a1442e49ca175a38149258fb254b20,
299656,350862,605,9678a9936c86c98a2271fd531d1bc3af,
299657,350863,605,bde2bd85cdbd3fd9f0bec3f901fef019,
299658,350864,605,ca0f1477f75ccf18d22341db733dd489,
299659,350865,605,2a44f7a003857a7d941233592fca53d4,
299660,350866,605,b12b24d204acb85b588048ab6e1d32ec,
299661,350867,605,c23ea6d618f59fac73c31e2d9231b0ef,
299662,350868,605,dc6ef59d55f6e96c7350ff260ea1df0c,
299663,350869,605,3cc30a153f8d833f5e1985eb5a0c6b18,
299664,350870,605,910fcff927123f2dd114d8b95fb2b366,
299665,350871,605,c55fb6da6a4c6c9856b7fab9a94feace,
299666,350872,605,5518809135dcb6b4cff707379eff1726,
299667,350873,605,94c1c3ab5f41700f36b34c9bddeaeae2,
299668,350874,605,e4c8954b52655041735fe5b976853cb5,
299669,350875,605,14db7890e9f29ac64fd59fb7ff388158,
299670,350876,605,5ca622034c52ff78fdb6bbaa7751d878,
299671,350877,605,6e289703e070c2b409db9f3d0dbe3978,
299672,350878,605,122173d0ec8a8e345bb581bf5f882ffb,
299673,350879,605,3124faa2f714373b0fe3ad7f28c25e2c,
299674,350880,605,3860288b8a20c4b4ff53cfffa6f3c204,
299675,350881,605,b5e7e4bde8cd675f8aecfecbe05b6788,
299676,350882,605,3ea3162033d2fcc526a62e9b9bb22803,
299677,350883,605,04755e12afdb2851d8b47a6498d9892e,
299678,350884,605,86a6c20a77509546a2a1bbd6eb99c58a,
299679,350885,605,6bf6239465120f25f9c304ecde1ef1f2,
299680,350886,605,32230ca1d89ed51bd4167e707ce80700,
300943,351197,605,17d559fb644ddea5185eee398823592a,
300944,351196,605,1342463220b717237b9b286762be7609,
302608,353382,605,2ec5469c3394db37fcda5b15497160c1,
302609,353383,605,ff95ccb80fda15a427b27db0a93da8d1,
302610,353384,605,14ab2e2b165729b3a1609af1097ad82d,
302611,353385,605,30f108a5d00f323a562919634e84b4b7,
302612,353386,605,07b427abf8cc61ca69b94fe245a50b20,
302613,353387,605,c7b14d05d495b4978d6b9d029a5b5064,
302614,353388,605,13c65386c5cf3a34e1579b911d788e21,
302615,353389,605,ce07c8aa7039d42def78ca5faf90cf36,
302616,353390,605,7e0468bcc333312d6ef679b10af282f2,
302617,353391,605,890f277f516d4f702753e11da3e38a89,
302618,353392,605,a4a38559df2316dc70642c2014f8e535,
302619,353393,605,40bae47fbc6a981c8cf6e613922dfbbc,
302620,353394,605,287841e826910d8e0e5731c84bc82791,
302621,353395,605,4617f75d04324d26944b8d51dd48e014,
302622,353396,605,59e837ddd5f5ed0b3fa7ef829087eb91,
302623,353397,605,e145a5ea33e569de73040d7f2707568a,
302624,353398,605,fd1b9bc303b1c0c630c36e36604e5d2f,
302625,353399,605,748e355a07b421744540fcc8a66916cf,
302626,353400,605,0bade7fb3202198da7a59155d8dba81b,
302627,353401,605,97a6f8f6450188febd899db7405bcb3b,
302628,353402,605,6e7c76b28eadf9388d446d6f9eda76fe,
302629,353403,605,f7fb6e17a609c9f21fce15c7b964fd1e,
302630,353404,605,652ed66a35a12d658162a53301b78d49,
302631,353405,605,0959685f059b2b660707acbe12e99c6f,
302632,353406,605,1bf505e911ad618235d51cb46ffebaa7,
302633,353407,605,ee9a1e168d7a67890056732de3b9682c,
302634,353408,605,6b3caa3c1965cbc55796ea3740a1e126,
302635,353409,605,a8ac5a713364be34bad9568280b40222,
302636,353410,605,fb1c6e4d5a63e95553494b3619b71af1,
302637,353411,605,3fbf3daa8e7b096c736f795794eb7638,
302638,353412,605,ad21c2ee5f29a1a798c7043bf3a0f8ea,
302639,353413,605,52e3e07c2ec273cf894f2580eb9cd724,
302640,353414,605,c971d7d5d66f47cc85db1d8974add1f5,
302641,353415,605,f3e7112edfa7e908841510a79640b115,
302642,353416,605,a63429af81eb049afaad8f29925da24d,
302643,353417,605,f4055711f27852f3130ef8670bd97353,
302644,353418,605,311990682acfba7b09f138614c2c7b25,
302645,353419,605,97daa1b9bcb816a1a82c8556ee479f2f,
302646,353420,605,67040648e82c227b415dc35d77194fb5,
302647,353421,605,5a8daff898432c61015d91a5fa4822c5,
302648,353422,605,d7b2ff07a889405a315b361263f7c508,
302649,353423,605,814a15437868b21d7d88d893ba35d1c0,
302650,353424,605,613473c29a73f92731f758835c8909d6,
302651,353425,605,6ff515602ec0f602bce71149642aefc1,
302652,353426,605,56592812a5a54024709a850d0b89080f,
302653,353427,605,158278d7fb7389ebfd62e87741e106e3,
